이름,그룹,소속사,성별,생년월일,키,혈액형,브랜드평판지수
지민,방탄소년단,빅히트,남자,1995-10-13,173.6,A,10523260
지드래곤,빅뱅,YG,남자,1988-08-18,177,A,9916947
강다니엘,,커넥트,남자,1996-12-10,180,A,8273745
뷔,방탄소년단,빅히트,남자,1995-12-30,178,AB,8073501
화사,마마무,RBW,여자,1995-07-23,162.1,A,7650928
정국,방탄소년단,빅히트,남자,1997-09-01,178,A,5208335
민현,뉴이스트,플레디스,남자,1995-08-09,182.3,O,4989792
소연,아이들,큐브,여자,1998-08-26,,B,4668615
진,방탄소년단,빅히트,남자,1992-12-04,179.2,O,4570308
하성운,핫샷,스타크루이엔티,남자,1994-03-22,167.1,A,4036489
태연,소녀시대,SM,여자,1989-03-09,,A,3918661
차은우,아스트로,판타지오,남자,1997-03-30,183,B,3506027
백호,뉴이스트,플레디스,남자,1995-07-21,175,AB,3301654
JR,뉴이스트,플레디스,남자,1995-06-08,176,O,3274137
슈가,방탄소년단,빅히트,남자,1993-03-09,174,O,2925442
